"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "HTML", "vue", "XML", "CSS", "Log", "comment", "blank", "total"
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\ngac.js", "JavaScript", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 68
"d:\WorkT\workTask-stage4\xinjiang\src\ols\source\ngacv.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\WorkT\workTask-stage4\xinjiang\src\router\index.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 46, 5, 163
"d:\WorkT\workTask-stage4\xinjiang\src\store\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\custom.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\home.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 116
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\manage.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 166
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\map.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 126
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\page.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 101
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\picker.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 107
"d:\WorkT\workTask-stage4\xinjiang\src\store\modules\user.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 66
"d:\WorkT\workTask-stage4\xinjiang\src\views\NavigationPage.vue", "vue", 0, 0, 0, 0, 0, 234, 0, 0, 0, 9, 2, 245
"d:\WorkT\workTask-stage4\xinjiang\vue.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 15792, 12763, 8, 19, 16, 13427, 3, 453, 203, 2675, 1467, 46826
